;Unnamed: 0;COMMUNE;MEN_REL;WOMEN_REL;ILTUU_1_REL;ILTUU_2_REL;ILTUU_3_REL;ILTUU_4_REL;ILTUU_5_REL;ILTUU_Z_REL;TRANS_1_REL;TRANS_2_REL;TRANS_3_REL;TRANS_4_REL;TRANS_5_REL;TRANS_6_REL;TRANS_Z_REL;VOIT_0_REL;VOIT_1_REL;VOIT_2_REL;VOIT_3_REL;VOIT_X_REL;VOIT_Z_REL;NA5_AZ_REL;NA5_BE_REL;NA5_FZ_REL;NA5_GU_REL;NA5_OQ_REL;NA5_ZZ_REL;POIDS_VILLE;NB_HABITANTS;INDICE_DENSITE
3626;3626;24484;206.1147079922636;135.5471713404937;90.38787591899155;251.27400341376577;0.0;0.0;0.0;0;30.14667528140445;10.02037184970184;0.0;0.0;296.45066312885643;296.45066312885643;0;5.06124698728443;60.41157660146851;220.95815569891752;55.23090004508691;0;0.0;20.02429636271227;40.251403332967655;25.084970009130128;155.74046668046915;100.56074294747806;0;341.6618793327573;876.0;3.0
3627;3627;24485;84.08134042182243;89.29054705244968;39.31359655512133;134.05829091915078;0.0;0.0;0.0;0;14.83247155042947;0.0;0.0;0.0;158.53941592384265;158.53941592384265;0;0.0;50.08171723043965;59.51550635095981;63.77466389287264;0;0.0;10.01449195691332;49.88322886378274;19.45936164115582;49.50283751189578;44.51196750052444;0;173.3718874742721;425.0;3.0
3628;3628;24486;60.68287010500345;50.514521763256106;45.53515639713969;65.66223547111987;0.0;0.0;0.0;0;15.1939878650298;0.0;15.1706375208773;0.0;80.83276648235247;80.83276648235247;0;0.0;30.22548484967555;75.89956778537697;5.07233923320705;0;0.0;20.219946919493;5.07233923320705;5.09568957735955;55.56383018349141;25.24558595470856;0;111.19739186825956;403.0;4.0
3629;3629;24487;307.15420332521006;342.4665911228916;0.0;0.0;100.74955624599288;392.7330376841268;156.13820051798203;0;20.09842896688804;10.0489835912296;10.11375191152898;10.0489835912296;584.2908985009337;584.2908985009337;0;10.157178080421;141.3565542993187;392.6454474407561;105.46161462760588;0;0.0;80.56538417853312;70.42964345491146;65.50193400050225;241.7816210941336;191.3422117200212;0;649.6207944481016;1807.0;3.0
3630;3630;24488;74.26058727451603;77.43900559700748;73.67091216149335;78.02868071003016;0.0;0.0;0.0;0;38.52427535492801;9.92350054683322;0.0;0.0;103.25181696976227;103.25181696976227;0;0.0;55.61521523920536;48.82992566499442;47.25445196732374;0;0.0;24.61816916859508;4.76286295101036;15.10074839049264;73.63900993554245;33.57880242588299;0;151.69959287152352;361.0;4.0
3631;3631;24489;95.0;85.0;55.0;125.0;0.0;0.0;0.0;0;20.0;0.0;0.0;10.0;145.0;145.0;0;0.0;45.0;85.0;50.0;0;0.0;25.0;30.0;30.0;50.0;45.0;0;180.0;381.0;4.0
3632;3632;24490;217.4661246612465;177.92682926829258;79.07859078590783;316.3143631436314;0.0;0.0;0.0;0;24.7120596205962;0.0;4.94241192411924;4.94241192411924;350.9112466124662;350.9112466124662;0;0.0;93.90582655826556;192.75406504065023;108.73306233062328;0;0.0;19.76964769647696;54.36653116531164;44.48170731707316;148.27235772357713;128.50271002710022;0;395.3929539295391;1114.0;4.0
3633;3633;24491;80.0;100.0;55.0;125.0;0.0;0.0;0.0;0;20.0;15.0;0.0;0.0;145.0;145.0;0;15.0;45.0;75.0;45.0;0;0.0;10.0;20.0;10.0;80.0;60.0;0;180.0;580.0;3.0
3634;3634;24492;14.76190476190476;9.84126984126984;9.84126984126984;14.76190476190476;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;24.6031746031746;24.6031746031746;0;0.0;14.76190476190476;9.84126984126984;0.0;0;0.0;4.92063492063492;4.92063492063492;4.92063492063492;4.92063492063492;4.92063492063492;0;24.6031746031746;62.0;4.0
3635;3635;24493;10.10752688172044;15.161290322580662;5.05376344086022;20.21505376344088;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;25.2688172043011;25.2688172043011;0;0.0;15.161290322580662;10.10752688172044;0.0;0;0.0;0.0;0.0;0.0;10.10752688172044;15.161290322580662;0;25.2688172043011;94.0;4.0
